s_pc,x_pc,y_pc,z_pc
868.784,-456.695,-291.552,-168.92
870.495,-455.817,-290.125,-168.572
872.208,-454.94,-288.696,-168.221
873.922,-454.062,-287.267,-167.866
875.638,-453.185,-285.836,-167.508
877.358,-452.307,-284.403,-167.146
879.077,-451.43,-282.97,-166.781
880.799,-450.552,-281.535,-166.413
882.522,-449.675,-280.099,-166.041
884.248,-448.797,-278.662,-165.665
885.975,-447.92,-277.223,-165.286
887.704,-447.042,-275.783,-164.904
889.435,-446.165,-274.342,-164.518
891.167,-445.287,-272.9,-164.129
892.901,-444.41,-271.457,-163.736
894.638,-443.532,-270.012,-163.34
896.375,-442.655,-268.566,-162.941
898.116,-441.777,-267.118,-162.538
899.857,-440.9,-265.67,-162.132
901.6,-440.022,-264.22,-161.723
903.345,-439.145,-262.769,-161.31
905.093,-438.267,-261.317,-160.894
906.842,-437.39,-259.863,-160.474
908.593,-436.512,-258.408,-160.051
910.345,-435.635,-256.952,-159.625
912.1,-434.757,-255.495,-159.196
913.856,-433.88,-254.036,-158.763
915.615,-433.002,-252.576,-158.327
917.375,-432.125,-251.115,-157.887
919.136,-431.247,-249.653,-157.445
920.9,-430.37,-248.189,-156.999
922.666,-429.492,-246.724,-156.55
924.433,-428.615,-245.258,-156.098
926.203,-427.737,-243.791,-155.642
927.974,-426.86,-242.322,-155.183
929.748,-425.982,-240.852,-154.721
931.522,-425.105,-239.381,-154.256
933.299,-424.227,-237.909,-153.788
935.078,-423.35,-236.435,-153.316
936.859,-422.472,-234.96,-152.841
938.641,-421.595,-233.484,-152.363
940.425,-420.717,-232.007,-151.882
942.212,-419.84,-230.528,-151.398
944.0,-418.962,-229.048,-150.911
945.79,-418.085,-227.567,-150.421
947.582,-417.207,-226.085,-149.927
949.376,-416.33,-224.601,-149.43
951.172,-415.452,-223.116,-148.931
952.969,-414.575,-221.63,-148.428
954.769,-413.697,-220.142,-147.922
956.57,-412.82,-218.654,-147.413
958.373,-411.942,-217.164,-146.901
960.179,-411.065,-215.672,-146.387
961.986,-410.187,-214.18,-145.869
963.795,-409.31,-212.686,-145.348
965.606,-408.432,-211.191,-144.824
967.418,-407.555,-209.695,-144.297
