x	y	z	vz
-686.601	-622.281	-142.616	-10.459
-685.724	-621.183	-143.057	-10.436
-684.846	-620.083	-143.497	-10.413
-683.969	-618.981	-143.936	-10.39
-683.091	-617.879	-144.374	-10.367
-682.214	-616.775	-144.81	-10.344
-681.336	-615.67	-145.245	-10.321
-680.459	-614.564	-145.679	-10.297
-679.581	-613.457	-146.111	-10.273
-678.704	-612.348	-146.542	-10.249
-677.826	-611.238	-146.971	-10.225
-676.949	-610.127	-147.399	-10.2
-676.071	-609.014	-147.825	-10.176
-675.194	-607.901	-148.25	-10.151
-674.316	-606.786	-148.674	-10.126
-673.439	-605.67	-149.096	-10.101
-672.561	-604.552	-149.516	-10.075
-671.684	-603.433	-149.935	-10.05
-670.806	-602.313	-150.352	-10.024
-669.929	-601.192	-150.768	-9.998
-669.051	-600.07	-151.182	-9.972
-668.174	-598.946	-151.594	-9.946
-667.296	-597.821	-152.005	-9.919
-666.419	-596.695	-152.414	-9.893
-665.541	-595.567	-152.821	-9.866
-664.664	-594.438	-153.227	-9.839
-663.786	-593.308	-153.631	-9.811
-662.909	-592.177	-154.033	-9.784
-662.031	-591.045	-154.433	-9.756
-661.154	-589.911	-154.832	-9.729
-660.276	-588.776	-155.229	-9.701
-659.399	-587.639	-155.624	-9.673
-658.521	-586.502	-156.017	-9.644
-657.644	-585.363	-156.408	-9.616
-656.766	-584.223	-156.798	-9.587
-655.889	-583.082	-157.186	-9.558
-655.011	-581.939	-157.571	-9.529
-654.134	-580.795	-157.955	-9.5
-653.256	-579.65	-158.337	-9.47
-652.379	-578.504	-158.717	-9.441
-651.501	-577.356	-159.094	-9.411
-650.624	-576.208	-159.47	-9.381
-649.746	-575.058	-159.844	-9.351
-648.869	-573.906	-160.216	-9.32
-647.991	-572.754	-160.586	-9.29
-647.114	-571.6	-160.953	-9.259
-646.236	-570.445	-161.319	-9.228
-645.359	-569.288	-161.682	-9.197
-644.481	-568.131	-162.044	-9.166
-643.604	-566.972	-162.403	-9.134
